case_name,axis,scenario_name,train_groups,eval_groups,group_size,max_steps,seed,group_correlation,critic_correlation,critic_minus_group_correlation,group_calibrated_mse,critic_calibrated_mse,critic_minus_group_calibrated_mse,wait_token_fraction,success_rate,zero_variance_group_fraction,critic_exact_state_rate,train_trajectories,critic_is_privileged
horizon_12_baseline,horizon,baseline,120,32,6,12,211,0.33660519748394085,0.8595500434759233,0.5229448459919825,0.02509482349475711,0.007391599283690619,-0.01770322421106649,0.38997005988023953,0.6666666666666666,0.0,0.9962574850299402,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,257,0.34618285834649976,0.8930904724122498,0.5469076140657501,0.022671054928455586,0.005213137148693685,-0.0174579177797619,0.43717472118959105,0.65625,0.0,0.9970260223048327,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,307,0.32366913711867773,0.8772155526966444,0.5535464155779667,0.02482161705748909,0.006390707280440543,-0.018430909777048546,0.41189931350114417,0.6666666666666666,0.0,0.992372234935164,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,359,0.34895291011388435,0.8461419363117065,0.4971890261978222,0.023521778774925433,0.007607576354407977,-0.015914202420517456,0.39732142857142855,0.5989583333333334,0.0,0.9947916666666666,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,401,0.34879987165214954,0.8696052700772805,0.520805398425131,0.02543988810709214,0.007060950486805412,-0.01837893762028673,0.41202027516292544,0.6302083333333334,0.0,0.9934829833454019,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,463,0.34763258574588435,0.8421126461929294,0.494480060447045,0.021919886879539035,0.007251670709722471,-0.014668216169816565,0.41626129256428074,0.65625,0.0,0.9965253648366922,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,509,0.3301081187284503,0.8866184894600889,0.5565103707316386,0.024598641453316254,0.005905351984921543,-0.01869328946839471,0.4246894409937888,0.6614583333333334,0.0,0.9922360248447205,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,571,0.32588474143442264,0.8400536265516755,0.5141688851172528,0.02420262592189009,0.007969433223661278,-0.016233192698228812,0.42406456346294935,0.6614583333333334,0.0,0.9860601614086574,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,631,0.3423555380413366,0.8473548953997412,0.5049993573584046,0.028276688468782066,0.009032397411316853,-0.019244291057465213,0.3915574963609898,0.6041666666666666,0.0,0.9898107714701602,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,701,0.31648367717951076,0.8948123999249211,0.5783287227454104,0.02391107186246,0.005296212967660173,-0.018614858894799826,0.44499294781382226,0.6510416666666666,0.0,0.995768688293371,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,761,0.3485399891324032,0.8840663740671585,0.5355263849347554,0.02503463861635989,0.0062243693084613385,-0.01881026930789855,0.4054669703872437,0.625,0.0,0.9901290812452543,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,823,0.34088035201776806,0.8474927825016779,0.5066124304839099,0.026712035226156915,0.008515807617536321,-0.018196227608620594,0.3988139362490734,0.5729166666666666,0.0,0.9903632320237212,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,887,0.3138816524508143,0.8521209176662785,0.5382392652154642,0.02511058809979715,0.007629176927626567,-0.017481411172170582,0.4015804597701149,0.6458333333333334,0.0,0.9978448275862069,720,False
horizon_12_baseline,horizon,baseline,120,32,6,12,947,0.31413909175326155,0.8440153205323105,0.529876228779049,0.02524046010569997,0.008055014980239522,-0.017185445125460448,0.4206748025843503,0.6197916666666666,0.0,0.9928212491026561,720,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,11,0.3019418768884348,0.8622271055119411,0.5602852286235063,0.020808882483378963,0.005874379537515267,-0.014934502945863695,0.5132743362831859,0.6666666666666666,0.0,0.9979177511712649,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,29,0.3028273558687037,0.884255706957206,0.5814283510885023,0.01843135117088684,0.004425571818743396,-0.014005779352143446,0.5356953992596509,0.6666666666666666,0.0,0.9984135378106822,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,47,0.26574718537023034,0.8662572468835839,0.6005100615133535,0.01716317802676572,0.004609426381112303,-0.012553751645653416,0.537984496124031,0.7175925925925926,0.0,0.9979328165374677,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,83,0.319266981827959,0.8846971259831309,0.5654301441551719,0.020495290816081955,0.004959367328882044,-0.01553592348719991,0.529039070749736,0.6203703703703703,0.0,0.9963041182682154,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,131,0.29160060767927815,0.8708497404707675,0.5792491327914893,0.019179221964042526,0.0050647586629355415,-0.014114463301106984,0.5421686746987951,0.6712962962962963,0.0,0.9954819277108434,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,173,0.29711334817020507,0.8692595267066922,0.5721461785364871,0.019341944801825064,0.005184615699825674,-0.014157329101999391,0.5521936459909228,0.6064814814814815,0.0,0.9974785678265254,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,211,0.291598684873533,0.8748690613709902,0.5832703764974572,0.01926996413477361,0.004940940206485549,-0.01432902392828806,0.5464876033057852,0.7175925925925926,0.0,0.9958677685950413,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,257,0.29876479402605594,0.8648291501478087,0.5660643561217528,0.016988674735237682,0.004702051434261821,-0.012286623300975862,0.5317540322580645,0.6944444444444444,0.0,0.9909274193548387,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,307,0.2641428297354969,0.9089913381194253,0.6448485083839284,0.023109180249970537,0.004316001183132976,-0.018793179066837563,0.5388104838709677,0.6712962962962963,0.0,0.9984879032258065,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,359,0.28729729963043094,0.8469406621526621,0.5596433625222311,0.01637323966188954,0.005044987903759786,-0.011328251758129754,0.5459797785267212,0.7407407407407407,0.0,0.9942224362060664,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,401,0.29125987844251583,0.808666323963674,0.5174064455211582,0.016984225785506808,0.006422364450522583,-0.010561861334984225,0.5388522092432707,0.7175925925925926,0.0,0.9933976637887253,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,463,0.2994483757643574,0.860421667873505,0.5609732921091477,0.018268248665564563,0.005211072711962306,-0.013057175953602257,0.5515738498789347,0.6620370370370371,0.0,0.9966101694915255,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,509,0.30643919596313646,0.8748875069645663,0.5684483110014298,0.019405831113566047,0.00502382378426719,-0.014382007329298858,0.5454545454545454,0.6620370370370371,0.0,0.9945887445887446,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,571,0.29678172882648396,0.8256441114847097,0.5288623826582257,0.018268250611359994,0.006376651346271551,-0.011891599265088443,0.5469238790406674,0.6574074074074074,0.0,0.9937434827945777,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,631,0.30527005844965244,0.8397556811089727,0.5344856226593202,0.018996051806992303,0.006175750570007632,-0.01282030123698467,0.5168539325842697,0.6666666666666666,0.0,0.9948927477017364,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,701,0.2909133491562006,0.8452568576081768,0.5543435084519762,0.017422108439433703,0.005434662151838285,-0.011987446287595419,0.5269461077844312,0.7129629629629629,0.0,0.9960079840319361,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,761,0.31599456378108953,0.8777843275237175,0.5617897637426279,0.01527105436202916,0.00389339069246953,-0.01137766366955963,0.5616784630940344,0.7361111111111112,0.0,0.9974721941354904,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,823,0.28735438352082704,0.8662254587446521,0.5788710752238251,0.021936762504156333,0.0059695058099935375,-0.015967256694162796,0.5315704263356719,0.6574074074074074,0.0,0.9951430113329736,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,887,0.2719011162867678,0.8945545719099984,0.6226534556232306,0.020275844826846343,0.004373912784203744,-0.0159019320426426,0.5391394504924831,0.7129629629629629,0.0,0.9984447900466563,960,False
horizon_16_long_wait,horizon,long_wait,160,36,6,16,947,0.2794347727366052,0.8683453150898252,0.5889105423532199,0.017944334877130708,0.0047877270224098755,-0.013156607854720833,0.5447870778267254,0.6944444444444444,0.0,0.9980420949583945,960,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,11,0.17381242306025754,0.858809766828587,0.6849973437683294,0.024135419930982272,0.006531562677702227,-0.017603857253280043,0.5074626865671642,0.640625,0.03125,0.9893390191897654,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,29,0.2268555206089231,0.8928613811215593,0.6660058605126362,0.02370894579095991,0.005069008474438598,-0.01863993731652131,0.4956521739130435,0.71875,0.09375,1.0,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,47,0.22309294039031982,0.9291833377519312,0.7060903973616114,0.02548243124024826,0.0036637116850632085,-0.02181871955518505,0.49464668094218417,0.65625,0.0625,0.9978586723768736,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,83,0.24514171762653397,0.864693012479875,0.619551294853341,0.021550254697468414,0.0057848988165170945,-0.01576535588095132,0.4871244635193133,0.71875,0.125,0.9914163090128756,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,131,0.18852398098385262,0.9281464701321265,0.7396224891482739,0.023674016120964588,0.00340076349294741,-0.02027325262801718,0.5135802469135803,0.625,0.09375,0.9975308641975309,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,173,0.21188580424014006,0.8988662635502132,0.6869804593100731,0.023935219219601612,0.004812569256862146,-0.019122649962739467,0.49882903981264637,0.734375,0.125,0.9976580796252927,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,211,0.21607942992624263,0.9028574983264742,0.6867780684002316,0.024737791191398656,0.0047966989915237445,-0.019941092199874912,0.48878923766816146,0.578125,0.03125,0.9932735426008968,840,False
group_size_02_long_wait,group_size,long_wait,140,32,2,12,257,0.23647135454123291,0.9454724767856644,0.7090011222444315,0.02405008631702906,0.0027023905101499057,-0.021347695806879154,0.5148741418764302,0.640625,0.15625,0.9954233409610984,840,False
